,R,MDG,SV,A,Sp,KrF,V,H,FrP,Andre,Totalt antall stemmer
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4.7,,,,,,,,,,,
3,,,,,,,,,,,
4.3,,,,,,,,,,,
7.9,,,,,,,,,,,
3.9,,,,,,,,,,,
3.7,,,,,,,,,,,
2.8,,,,,,,,,,,
3.9,,,,,,,,,,,
4.5,,,,,,,,,,,
3.4,,,,,,,,,,,
2.9,,,,,,,,,,,
3.3,,,,,,,,,,,
5.4,,,,,,,,,,,
3.3,,,,,,,,,,,
3.2,,,,,,,,,,,
7.1,,,,,,,,,,,
4.2,,,,,,,,,,,
5.3,,,,,,,,,,,
8.4,,,,,,,,,,,
8.5,,,,,,,,,,,
