,R,MDG,SV,A,Sp,KrF,V,H,FrP,Andre,Totalt antall stemmer
Vest-Agder,2406,3178,3522,21647,9026,12582,4059,24740,17808,,
Rogaland,3437,8696,10466,61642,20954,24548,7491,66250,43436,,
Hordaland,9318,12143,19891,77515,25211,19320,12068,77264,40687,,
Sogn og Fjordane,1083,1559,3071,15167,19673,3706,2763,9214,5029,,
Møre og Romsdal,2380,4226,5834,33249,23111,11630,5818,28036,27381,,
Sør-Trøndelag,6125,8164,16587,58607,19559,6383,9107,33144,18367,,
Nord-Trøndelag,1301,1426,4131,26618,19475,3339,1978,9999,8810,,
Nordland,5426,3572,10025,35918,25508,4192,3959,24412,19098,,
Troms,3724,3107,9288,24201,13515,3526,3042,15556,13466,,
Finnmark,985,1197,3190,12690,5926,1165,1759,5113,5621,,
Sum av lokale målinger,93332,118200,171978,829030,332265,150903,113834,679327,403986,,
Prosent,"3,2","4,0","5,8","28,1","11,3","5,1","3,9","23,0","13,7",,
,0.0322632832,0.0408589438,0.0594495749,0.2865791752,0.1148567764,0.0521640386,0.0393503995,0.234829606,0.1396499306,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4.7,,,,,,,,,,,
3,,,,,,,,,,,
4.3,,,,,,,,,,,
7.9,,,,,,,,,,,
3.9,,,,,,,,,,,
3.7,,,,,,,,,,,
2.8,,,,,,,,,,,
3.9,,,,,,,,,,,
4.5,,,,,,,,,,,
3.4,,,,,,,,,,,
2.9,,,,,,,,,,,
3.3,,,,,,,,,,,
5.4,,,,,,,,,,,
3.3,,,,,,,,,,,
3.2,,,,,,,,,,,
7.1,,,,,,,,,,,
4.2,,,,,,,,,,,
5.3,,,,,,,,,,,
8.4,,,,,,,,,,,
8.5,,,,,,,,,,,
