,R,MDG,SV,A,Sp,KrF,V,H,FrP,Andre,Totalt antall stemmer
Hele landet,3.1,4.2,5.6,27.9,10.6,5,3.7,23.7,14.3,1.9,2948884
Østfold,3.7,2.9,3.9,33.5,10.4,5.1,2.3,20.6,15.2,2.4,163279
Akershus,3,5.1,4.4,26.6,5.9,2.8,5,30.5,15.2,1.5,342580
Oslo,6.8,7.1,8.5,26.6,2.6,3.1,5.2,29.1,10.4,0.6,372341
Hedmark,2.2,2.9,5.1,36.4,23.3,2.8,3.1,13.4,8.8,2,114265
Oppland,2.6,3.3,4.5,34.8,23.9,2.5,2,15.1,9.3,2,108587
Buskerud,1.9,3.2,4.5,29.3,10.3,3,3.6,26.6,15.8,1.8,155669
Vestfold,2.3,3.1,5,29.8,7.8,4.9,3.7,27,14.8,1.6,143127
Telemark,2.8,4.2,5.2,32.3,16.1,6.3,2.8,14.2,12.8,3.3,99372
Aust-Agder,1.6,2.9,4.2,26.5,11.8,11.4,3.8,20.1,15,2.7,64978
Vest-Agder,2.4,3.1,3.5,21.2,8.9,12.3,4,24.3,17.5,2.8,101819
Rogaland,1.4,3.5,4.2,24.5,8.3,9.8,3,26.4,17.3,1.6,250935
Hordaland,3.1,4.1,6.7,25.9,8.4,6.5,4,25.8,13.6,1.9,299100
Sogn og Fjordane,1.7,2.5,4.9,24.4,31.7,6,4.5,14.8,8.1,1.4,62135
Møre og Romsdal,1.6,2.9,4,22.6,15.7,7.9,4,19.1,18.6,3.6,146955
Sør-Trøndelag,3.3,4.4,9,31.9,10.6,3.5,5,18,10,4.3,183953
Nord-Trøndelag,1.7,1.8,5.3,34.1,24.9,4.3,2.5,12.8,11.3,1.3,78092
Nordland,4,2.6,7.4,26.6,18.9,3.1,2.9,18.1,14.1,2.3,135220
Troms,4.1,3.4,10.2,26.6,14.8,3.9,3.3,17.1,14.8,1.8,91064
Finnmark,2.6,3.1,8.3,33,15.4,3,4.6,13.3,14.6,2.1,38454
,,,,,,,,,,,
Østfold,6041.323,4735.091,6367.881,54698.465,16981.016,8327.229,3755.417,33635.474,24818.408,3918.696,163279
Akershus,10277.4,17471.58,15073.52,91126.28,20212.22,9592.24,17129,104486.9,52072.16,5138.7,342580
Oslo,25319.188,26436.211,31648.985,99042.706,9680.866,11542.571,19361.732,108351.231,38723.464,2234.0459999999,372341
Hedmark,2513.83,3313.685,5827.515,41592.46,26623.745,3199.42,3542.215,15311.51,10055.32,2285.3,114265
Oppland,2823.262,3583.371,4886.415,37788.276,25952.293,2714.675,2171.74,16396.637,10098.591,2171.74,108587
Buskerud,2957.711,4981.408,7005.105,45611.017,16033.907,4670.07,5604.084,41407.954,24595.702,2802.042,155669
Vestfold,3291.921,4436.937,7156.35,42651.846,11163.906,7013.223,5295.699,38644.29,21182.796,2290.032,143127
Telemark,2782.416,4173.624,5167.344,32097.156,15998.892,6260.436,2782.416,14110.824,12719.616,3279.276,99372
Aust-Agder,1039.648,1884.362,2729.076,17219.17,7667.404,7407.492,2469.164,13060.578,9746.7,1754.406,64978
Vest-Agder,2443.656,3156.389,3563.665,21585.628,9061.891,12523.737,4072.76,24742.017,17818.325,2850.932,101819
Rogaland,3513.09,8782.725,10539.27,61479.075,20827.605,24591.63,7528.05,66246.84,43411.755,4014.96,250935
Hordaland,9272.1,12263.1,20039.7,77466.9,25124.4,19441.5,11964,77167.8,40677.6,5682.9,299100
Sogn og Fjordane,1056.295,1553.375,3044.615,15160.94,19696.795,3728.1,2796.075,9195.98,5032.935,869.89,62135
Møre og Romsdal,2351.28,4261.695,5878.2,33211.83,23071.935,11609.445,5878.2,28068.405,27333.63,5290.38,146955
Sør-Trøndelag,6070.449,8093.932,16555.77,58681.007,19499.018,6438.355,9197.65,33111.54,18395.3,7909.979,183953
Nord-Trøndelag,1327.564,1405.656,4138.876,26629.372,19444.908,3357.956,1952.3,9995.776,8824.396,1015.196,78092
Nordland,5408.8,3515.72,10006.28,35968.52,25556.58,4191.82,3921.38,24474.82,19066.02,3110.06,135220
Troms,3733.624,3096.176,9288.528,24223.024,13477.472,3551.496,3005.112,15571.944,13477.472,1639.152,91064
Finnmark,999.804,1192.074,3191.682,12689.82,5921.916,1153.62,1768.884,5114.382,5614.284,807.534,38454
,3.1580531687,4.0088115721,5.8303912532,28.0807775265,11.2467887565,5.1259776248,3.8685223371,23.0051543315,13.6746182237,2.0009052059,2951925
,,,,,,,,,,,
,,,,,,,,,,,
,R,MDG,SV,A,Sp,KrF,V,H,FrP,,
Østfold,5971,4811,6304,54743,16920,8329,3679,33725,24878,,
Akershus,10415,17327,15250,91037,20209,9547,16999,104584,52073,,
Oslo,25394,26270,31638,99007,9820,11423,19234,108470,38851,,
Hedmark,2536,3341,5868,41604,26603,3170,3534,15306,10018,,
Oppland,2788,3582,4903,37771,25936,2672,2203,16404,10156,,
Buskerud,2909,5001,6959,45692,15972,4749,5576,41429,24580,,
Vestfold,3301,4495,7194,42620,11162,7006,5334,38520,21205,,
Telemark,2805,4210,5150,32087,16012,6208,2775,14098,12748,,
Aust-Agder,1029,1894,2708,17217,7672,7408,2457,13064,9775,,
